pregunta,tag,categoria,respuesta,__expected
¿En qué te pareces a tu mamá?,personal,EXCELENTE,"Me parezco a mi mamá en que ambos amamos leer libros de aventuras, tenemos la misma sonrisa y el mismo color de ojos.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,"Tengo el temperamento tranquilo de mi mamá, ambos somos pacientes y disfrutamos resolver rompecabezas juntos.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,"Me parezco a mi mamá en la forma de hablar, ambos usamos las mismas expresiones y nos reímos igual.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,Comparto con mi mamá el amor por la naturaleza. Nos encanta hacer caminatas y plantar en el jardín.,fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Tengo el mismo color de cabello que mi mamá.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Los dos somos de libra.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Mi mamá y yo reímos mucho.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Ambos amamos el chocolate.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,Me gustar jugar al fútbol y cocinar. En general voy los sábados a un parque que queda cerca de casa. Mi receta favorita es el fainá de queso.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,La música que más me gusta es el pop y el rock. Miro mucho videos de YouTube y canto las canciones de mis artistas favoritos.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,"Me levanto temprano, me lavo la cara y voy a desayunar. Me preparo para ir al liceo y voy a la parada a tomar el ómnibus.",fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,En general tomo café con leche y como pan tostado con manteca. A veces compramos medialunas que me gustan mucho.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,Me parezco a mi mamá en que ambos amamos leer. Siempre compartimos libros y hablamos de ellos.,fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,"Tengo el mismo color de ojos que mi mamá, verde. Además, ambos somos muy pacientes con los demás.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,Heredé de mi mamá el amor por la música. Tocamos el piano juntos cada tarde después de la cena.,fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,EXCELENTE,Mi mamá y yo somos muy organizados. Siempre hacemos listas para todo y nos gusta tener todo en orden.,fn:output.includes('EXCELENTE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Las dos tenemos rulos.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Ambos somos altos.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Nos gusta el mismo tipo de películas.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,ACEPTABLE,Tenemos la misma sonrisa.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,"Cuando me mandan deberes, los hago enseguida que llego a casa de la escuela, así después tengo toda la tarde para jugar.",fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,Fuimos juntos al parque el sábado.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,Mi mamá trabaja en un banco.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu mamá?,personal,INCORRECTA,Ella me ayuda con mi tarea.,fn:output.includes('INCORRECTA')
¿En qué te pareces a tu papá?,personal,EXCELENTE,"Me parezco a mi papá en la pasión por el fútbol, ambos disfrutamos jugarlo los sábados.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu papá?,personal,EXCELENTE,"Herde de mi papá el amor por la lectura, cada noche leemos juntos un capítulo.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu papá?,personal,EXCELENTE,"Tengo los mismos ojos verdes que mi papá, y la gente siempre dice que sonreímos igual.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu papá?,personal,EXCELENTE,"Compartimos el hobby de la jardinería, pasamos horas cuidando las plantas en el jardín trasero.",fn:output.includes('EXCELENTE')
¿En qué te pareces a tu papá?,personal,ACEPTABLE,Me gustan los mismos videojuegos que a él.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu papá?,personal,ACEPTABLE,Tenemos rulos en el pelo.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu papá?,personal,ACEPTABLE,Nos encanta la pizza igual.,fn:output.includes('ACEPTABLE')
¿En qué te pareces a tu papá?,personal,ACEPTABLE,Ambos somos muy altos para nuestra edad.,fn:output.includes('ACEPTABLE')
